GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0100000US,,United States,310M200US15980,15980,"United States - In metropolitan statistical area - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620501,631165,644763,661115
0100000US,,United States,310M200US16020,16020,"United States - In metropolitan statistical area - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96411,96976,97087,97439
0100000US,,United States,310M200US16060,16060,"United States - In metropolitan statistical area - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126806,127043,126827,126738
0100000US,,United States,310M200US16180,16180,"United States - In metropolitan statistical area - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,55263,54746,54616,54080
0100000US,,United States,310M200US16220,16220,"United States - In metropolitan statistical area - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75463,76374,78665,80973
0100000US,,United States,310M200US16300,16300,"United States - In metropolitan statistical area - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257940,258362,260856,261628,262421
0100000US,,United States,310M200US16540,16540,"United States - In metropolitan statistical area - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149906,150944,151372,152085
0100000US,,United States,310M200US16580,16580,"United States - In metropolitan statistical area - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231891,232207,233059,233943,235162
0100000US,,United States,310M200US16620,16620,"United States - In metropolitan statistical area - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227071,227008,225891,225837,224743
0100000US,,United States,310M200US16700,16700,"United States - In metropolitan statistical area - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664608,667719,681632,697497,712220
0100000US,,United States,310M200US16740,16740,"United States - In metropolitan statistical area - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217030,2223635,2256758,2294990,2335358
0100000US,,United States,310M200US16820,16820,"United States - In metropolitan statistical area - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218705,219031,221052,222696,224055
0100000US,,United States,310M200US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528145,529107,533155,537854,541744
0100000US,,United States,310M200US16940,16940,"United States - In metropolitan statistical area - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91738,92052,92447,94627,95809
0100000US,,United States,310M200US16980,16980,"United States - In metropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461105,9470335,9491283,9514059,9537289
0100000US,,United States,310M200US17020,17020,"United States - In metropolitan statistical area - Chico, CA Metro Area","Chico, CA Metro Area",220000,220000,219914,219913,221016,222090
0100000US,,United States,310M200US17140,17140,"United States - In metropolitan statistical area - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114580,2117344,2122984,2129309,2137406
0100000US,,United States,310M200US17300,17300,"United States - In metropolitan statistical area - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260610,261827,264456,275081,272579
0100000US,,United States,310M200US17420,17420,"United States - In metropolitan statistical area - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115788,115966,116662,117711,118538
0100000US,,United States,310M200US17460,17460,"United States - In metropolitan statistical area - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077245,2075690,2068606,2064739,2064725
0100000US,,United States,310M200US17660,17660,"United States - In metropolitan statistical area - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138494,138892,141081,142278,144265
0100000US,,United States,310M200US17780,17780,"United States - In metropolitan statistical area - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228660,229480,231466,234209,236819
0100000US,,United States,310M200US17820,17820,"United States - In metropolitan statistical area - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645613,650146,660211,668818,678319
0100000US,,United States,310M200US17860,17860,"United States - In metropolitan statistical area - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162642,163165,165847,168530,170773
0100000US,,United States,310M200US17900,17900,"United States - In metropolitan statistical area - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767477,769655,776602,784531,793779
